id_proveedor,proveedor,pais
P300,SurtiMax,Guatemala
P301,Insumos Globales,Costa Rica
P302,Distribuidora Atlas,El Salvador
P303,TecnoSupply,Guatemala
P304,Insumos Globales,Guatemala
P305,TecnoSupply,El Salvador
P306, CompuRed 6 ,El Salvador
P307,OfiMarket,El Salvador
P308,Papelera Unión,Guatemala
P309,CompuRed,Guatemala
P310,TecnoSupply,Costa Rica
P311,Insumos Globales,Honduras
P312,SurtiMax,El Salvador
P313,TecnoSupply,Guatemala
P314,Insumos Globales,Guatemala
P315,Mayorista Centro,El Salvador
P316,LogiParts,Honduras
P317,Distribuidora Atlas,El Salvador
P318,Distribuidora Atlas,Honduras
P319,ElectroPro,Guatemala
P320,ElectroPro,Honduras
P321,CompuRed,Costa Rica
P322,LogiParts,Guatemala
P323,Papelera Unión,Costa Rica
P324,Distribuidora Atlas,El Salvador
P325,ElectroPro 25 ,El Salvador
P326,LogiParts,El Salvador
P327, OfiMarket 27 ,Honduras
P328,Papelera Unión,Guatemala
P329,TecnoSupply,El Salvador
P330, LogiParts 30 ,El Salvador
P331,SurtiMax,Guatemala
P332,ElectroPro,El Salvador
P333,TecnoSupply,Costa Rica
P334,TecnoSupply,Guatemala
